source_1,source_2
"Dairy produce; buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",buttermilk
"Bran and other residues, of rice",rice bran
Fresh/dried pineapples,pineapples
"Nuts, edible; pistachios, fresh or dried, whether or not shelled or peeled",pistachios
Dry grapes,raisins
"Butter, fat and oil, from cocoa",cocoa butter
"Nuts, edible; coconuts, fresh or dried, whether or not shelled or peeled",coconuts
"Sauces, soya",tamari
Fresh papaws (papayas),pawpaw (carica papaya)
"Sheep, live",sheep
"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",cranberries
"Spices; cloves (whole fruit, cloves and stems)",cloves
Fresh/chilled lettuce,cabbages
"Jute and other textile bast fibres; processed but not spun, tow and waste of these fibres, including yarn waste and garnetted stock (excluding flax, hemp (cannabis sativa L.), and ramie)",jute
"Cereals, fonio (Digitaria spp.)",fonio (digitaria)
"Vegetable roots and tubers; taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",taro
"Fruit, edible; raspberries, blackberries, mulberries and loganberries, fresh",raspberries
"Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",sugarcane
"Meat and edible meat offal; of camels and other camelids (Camelidae), fresh, chilled or frozen",dromedary meat
"Vegetable roots and tubers; yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",yams
"Oil seeds; safflower seeds, whether or not broken",safflower seed
"Oleaginous fruits; palm nuts and kernels, whether or not broken",palm kernels
"Molluscs; snails (other than sea snails), live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)",snails
Yoghurt,yoghurt
"Cereals, quinoa (Chenopodium quinoa)",quinua
"Vegetable roots and tubers; yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",yautia
"locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included; seaweeds and other algae other than fit for human consumption",carobs
"Oleaginous fruits, shea nuts (karite nuts)",shea nuts
Ploughs,plows
"Vegetables, leguminous; pigeon peas (Cajanus cajan), shelled, whether or not skinned or split, dried",tur
Mate,yerba mate
Maize (corn) starch,maize starch
"Fish; smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)",smoked fish
Fresh/dried grapefruit,grapefruits
"Dairy produce, butter and other fats and oils derived from milk",butter
Oleic acid (industrial monocarboxylic fatty acids),oleic acid
"Disc harrows, used agricultural, etc.f/soil preparation",disc harrows
